ip,app,device,os,channel,click_time,attributed_time,is_attributed,hour,day
32445,14,1,3,64,2017-11-08 05:38:17,,0,5,8
31771,17,1,16,125,2017-11-08 03:12:13,2017-11-08 06:23:29,1,3,8
20160,8,1,15,90,2017-11-08 00:43:16,,0,0,8
7322,14,1,6,106,2017-11-07 11:48:36,,0,11,7
15020,2,1,19,149,2017-11-08 01:21:33,,0,1,8
2794,17,1,19,103,2017-11-08 13:46:51,,0,13,8
20283,17,1,25,14,2017-11-09 00:21:53,,0,0,9
12884,11,1,19,70,2017-11-09 05:07:51,,0,5,9
4118,1,1,19,146,2017-11-09 07:06:09,,0,7,9
11812,8,2,19,54,2017-11-09 13:50:57,,0,13,9
17585,17,1,16,33,2017-11-07 00:12:05,,0,0,7
19733,10,1,20,81,2017-11-09 10:38:59,,0,10,9
532,17,1,17,24,2017-11-09 06:11:14,,0,6,9
18448,25,1,19,24,2017-11-09 15:53:59,,0,15,9
11224,13,1,40,140,2017-11-08 06:32:12,,0,6,8
28931,0,1,17,40,2017-11-08 23:00:47,,0,23,8
16414,12,1,25,108,2017-11-08 06:09:47,,0,6,8
10876,17,1,6,14,2017-11-08 11:37:39,,0,11,8
7769,2,1,17,77,2017-11-08 14:42:50,,0,14,8
19897,11,1,19,45,2017-11-07 16:13:01,,0,16,7
14757,14,1,18,79,2017-11-07 09:38:51,,0,9,7
14327,5,1,19,138,2017-11-08 07:00:58,,0,7,8
6590,17,1,9,14,2017-11-07 12:00:23,,0,12,7
2530,14,1,46,79,2017-11-09 15:12:22,,0,15,9
25278,13,1,13,109,2017-11-08 03:28:56,,0,3,8
542,1,1,9,144,2017-11-08 23:27:03,,0,23,8
11387,2,1,18,77,2017-11-07 13:48:04,,0,13,7
522,17,1,19,103,2017-11-08 23:24:02,,0,23,8
26338,20,1,19,31,2017-11-06 22:53:56,,0,22,6
13205,2,1,19,32,2017-11-08 15:50:07,,0,15,8
7626,25,1,19,71,2017-11-07 05:01:56,,0,5,7
24427,17,1,13,14,2017-11-09 00:20:45,,0,0,9
12657,0,1,19,35,2017-11-08 06:00:18,,0,6,8
14869,8,1,19,63,2017-11-07 01:06:55,,0,1,7
7523,13,1,10,140,2017-11-08 04:27:49,,0,4,8
1192,12,1,1,146,2017-11-08 10:25:09,,0,10,8
26116,2,1,13,77,2017-11-08 05:23:41,,0,5,8
15947,2,1,19,77,2017-11-08 14:23:12,,0,14,8
22010,14,1,13,40,2017-11-08 19:23:28,,0,19,8
14343,12,1,10,146,2017-11-07 08:17:54,,0,8,7
19020,1,1,27,60,2017-11-09 05:00:27,,0,5,9
9385,13,1,13,156,2017-11-07 08:43:21,,0,8,7
19441,0,1,6,22,2017-11-09 11:39:04,,0,11,9
21904,31,1,1,103,2017-11-09 04:04:29,,0,4,9
16231,12,1,13,146,2017-11-09 11:21:59,,0,11,9
7773,8,1,19,33,2017-11-06 23:35:38,,0,23,6
6599,8,1,40,30,2017-11-08 12:49:39,,0,12,8
7797,22,1,13,11,2017-11-09 12:07:04,,0,12,9
13159,1,1,19,48,2017-11-08 11:17:44,,0,11,8
10938,2,1,13,32,2017-11-07 16:03:34,,0,16,7
4115,14,1,13,64,2017-11-07 12:13:46,,0,12,7
24184,19,1,19,67,2017-11-08 15:13:40,,0,15,8
1780,1,1,18,60,2017-11-07 05:49:36,,0,5,7
16219,10,1,11,25,2017-11-09 12:19:00,,0,12,9
13943,14,1,10,40,2017-11-06 17:55:41,,0,17,6
18432,13,1,19,140,2017-11-08 01:05:28,,0,1,8
16245,2,1,10,77,2017-11-09 02:59:37,,0,2,9
5852,11,1,19,70,2017-11-08 08:31:47,,0,8,8
26542,0,1,8,40,2017-11-07 13:39:00,,0,13,7
7618,11,1,17,113,2017-11-08 05:02:46,,0,5,8
15674,13,1,18,109,2017-11-08 09:33:36,,0,9,8
27350,20,1,3,57,2017-11-09 12:00:21,,0,12,9
18582,2,1,18,43,2017-11-09 01:11:30,,0,1,9
989,11,1,17,7,2017-11-09 01:38:51,,0,1,9
23089,25,1,19,24,2017-11-07 13:01:47,,0,13,7
16541,13,1,13,149,2017-11-09 02:21:51,,0,2,9
26360,1,1,9,55,2017-11-07 06:25:26,,0,6,7
12003,1,1,19,52,2017-11-07 00:58:06,,0,0,7
21607,7,1,6,38,2017-11-07 14:17:41,,0,14,7
918,24,1,13,67,2017-11-07 12:16:16,,0,12,7
8528,2,1,13,77,2017-11-08 03:23:32,,0,3,8
15828,2,1,8,20,2017-11-08 14:17:56,,0,14,8
