ip,app,device,os,channel,click_time,attributed_time,is_attributed,hour,day
15220,11,1,13,159,2017-11-07 09:30:38,,0,9,7
18448,24,1,17,67,2017-11-07 13:40:27,,0,13,7
17663,11,1,19,52,2017-11-07 18:05:24,,0,18,7
16496,12,1,13,146,2017-11-07 04:58:08,,0,4,7
11852,11,1,1,45,2017-11-09 09:00:09,,0,9,9
16300,2,1,17,20,2017-11-09 01:22:13,,0,1,9
2973,0,1,17,34,2017-11-09 01:17:58,,0,1,9
21303,8,1,25,126,2017-11-07 10:01:53,,0,10,7
28059,1,2,22,100,2017-11-08 09:35:17,,0,9,8
23644,2,1,19,34,2017-11-08 12:35:26,,0,12,8
12884,2,1,22,156,2017-11-08 08:14:37,,0,8,8
6027,2,1,13,156,2017-11-07 05:03:14,,0,5,7
20119,2,1,22,48,2017-11-09 10:24:23,,0,10,9
20014,5,1,20,28,2017-11-08 14:46:16,,0,14,8
6262,1,1,13,48,2017-11-07 00:54:09,,0,0,7
12571,24,2,19,67,2017-11-08 23:17:45,,0,23,8
918,1,1,2,146,2017-11-09 07:33:41,,0,7,9
18625,2,1,20,77,2017-11-09 03:44:35,,0,3,9
12558,19,2,82,67,2017-11-06 23:14:08,,0,23,6
6458,13,1,13,95,2017-11-06 20:07:00,,0,20,6
4956,11,1,19,70,2017-11-09 09:55:22,,0,9,9
11599,58,1,25,138,2017-11-08 17:01:58,,0,17,8
4433,8,1,10,54,2017-11-08 02:05:37,,0,2,8
1485,6,1,19,12,2017-11-07 10:30:00,,0,10,7
7878,2,1,18,77,2017-11-07 01:35:31,,0,1,7
23853,58,1,13,138,2017-11-07 03:58:58,,0,3,7
25325,2,1,13,20,2017-11-07 16:19:05,,0,16,7
9216,0,1,13,20,2017-11-07 17:22:52,,0,17,7
22950,11,1,39,25,2017-11-07 06:39:04,,0,6,7
23256,11,1,13,159,2017-11-07 10:11:50,,0,10,7
8602,2,1,19,105,2017-11-09 03:14:43,,0,3,9
12332,58,1,15,138,2017-11-07 14:00:50,,0,14,7
1939,14,1,19,106,2017-11-09 12:39:11,,0,12,9
15536,0,1,27,27,2017-11-07 09:37:21,,0,9,7
23347,11,1,13,70,2017-11-07 07:01:20,,0,7,7
4906,13,1,13,126,2017-11-06 23:45:32,,0,23,6
22226,12,1,23,146,2017-11-06 16:24:24,,0,16,6
13224,1,1,51,146,2017-11-07 13:28:54,,0,13,7
