ip,app,device,os,channel,click_time,attributed_time,is_attributed,hour,day
24044,22,1,15,148,2017-11-08 02:15:01,,0,2,8
926,2,2,36,77,2017-11-07 08:01:54,,0,8,7
33604,2,1,13,77,2017-11-09 04:43:27,,0,4,9
30355,14,2,48,64,2017-11-08 13:10:20,,0,13,8
24339,13,1,19,149,2017-11-07 06:13:30,,0,6,7
15122,18,78,24,53,2017-11-07 13:40:14,,0,13,7
31611,10,1,9,98,2017-11-08 11:30:35,,0,11,8
12736,2,1,6,77,2017-11-09 02:58:50,,0,2,9
14919,1,1,40,48,2017-11-08 23:19:13,,0,23,8
9385,134,96,127,94,2017-11-08 13:51:33,,0,13,8
29346,1,1,10,59,2017-11-09 12:13:55,,0,12,9
19175,2,1,8,77,2017-11-08 02:48:43,,0,2,8
6323,11,1,17,38,2017-11-07 15:43:03,,0,15,7
19097,2,1,19,149,2017-11-08 16:37:58,,0,16,8
19339,2,1,13,20,2017-11-07 03:25:33,,0,3,7
23065,17,1,22,14,2017-11-09 05:51:07,,0,5,9
20687,13,1,19,109,2017-11-08 00:44:08,,0,0,8
14611,1,1,13,100,2017-11-07 09:51:32,,0,9,7
12839,20,2,18,31,2017-11-09 08:55:37,,0,8,9
2721,18,14,24,89,2017-11-08 00:16:47,,0,0,8
33619,19,1,13,147,2017-11-08 23:32:48,,0,23,8
29802,11,1,8,64,2017-11-08 03:28:15,,0,3,8
7520,11,1,13,70,2017-11-07 09:30:31,,0,9,7
18829,14,1,13,37,2017-11-06 23:31:26,,0,23,6
182,1,2,27,146,2017-11-07 04:20:37,,0,4,7
19556,17,1,22,125,2017-11-09 12:08:44,,0,12,9
6722,5,1,12,138,2017-11-06 20:06:12,,0,20,6
7012,1,1,13,146,2017-11-09 05:05:03,,0,5,9
4639,17,1,13,24,2017-11-08 16:50:27,,0,16,8
23229,17,1,12,14,2017-11-07 03:21:12,,0,3,7
33952,2,1,13,20,2017-11-09 11:27:32,,0,11,9
6597,11,2,9,86,2017-11-08 13:24:35,,0,13,8
10202,11,1,25,55,2017-11-07 11:58:03,,0,11,7
12833,14,1,19,64,2017-11-07 16:34:36,,0,16,7
18470,11,1,19,48,2017-11-08 04:16:16,,0,4,8
8746,25,1,19,146,2017-11-08 06:03:57,,0,6,8
12836,17,1,127,14,2017-11-08 00:34:45,,0,0,8
2088,27,1,19,34,2017-11-08 04:31:50,,0,4,8
5071,2,1,23,118,2017-11-08 05:37:19,,0,5,8
14308,10,1,19,154,2017-11-07 10:20:46,,0,10,7
2248,14,1,3,64,2017-11-07 14:51:45,,0,14,7
16986,1,1,13,146,2017-11-08 10:30:49,,0,10,8
5956,6,1,40,12,2017-11-09 13:54:54,,0,13,9
28985,12,1,13,146,2017-11-09 13:30:04,,0,13,9
29138,11,1,22,86,2017-11-06 23:28:06,,0,23,6
26378,28,1,16,53,2017-11-07 10:34:17,,0,10,7
24773,18,32,24,53,2017-11-09 14:25:54,,0,14,9
10497,2,1,19,113,2017-11-09 03:54:02,,0,3,9
34177,6,1,3,12,2017-11-09 13:04:59,,0,13,9
20045,1,1,25,48,2017-11-07 13:26:40,,0,13,7
12985,13,1,19,33,2017-11-08 06:10:07,,0,6,8
27592,8,1,19,63,2017-11-08 01:37:54,,0,1,8
15058,0,1,25,33,2017-11-07 11:55:41,,0,11,7
2212,1,1,19,59,2017-11-09 03:08:34,,0,3,9
32129,14,1,51,64,2017-11-07 23:46:53,,0,23,7
24574,17,1,13,14,2017-11-09 13:31:55,,0,13,9
16016,17,1,17,24,2017-11-07 12:25:43,,0,12,7
7771,20,2,13,57,2017-11-08 16:00:15,,0,16,8
17,13,1,10,126,2017-11-08 16:08:18,,0,16,8
918,14,1,8,40,2017-11-07 01:45:55,,0,1,7
20014,11,2,48,37,2017-11-08 13:54:48,,0,13,8
2141,11,1,13,27,2017-11-09 02:11:05,,0,2,9
6594,8,1,25,142,2017-11-09 12:04:59,,0,12,9
16517,14,1,19,64,2017-11-08 14:05:10,,0,14,8
918,12,1,25,146,2017-11-07 13:23:25,,0,13,7
1287,22,2,9,40,2017-11-07 09:42:02,,0,9,7
260,25,1,13,24,2017-11-08 23:51:40,,0,23,8
27602,13,1,13,109,2017-11-09 05:39:33,,0,5,9
1021,19,1,19,147,2017-11-08 02:38:59,,0,2,8
34776,1,1,19,146,2017-11-09 15:38:26,,0,15,9
28949,2,1,17,118,2017-11-06 22:52:01,,0,22,6
20711,2,1,8,77,2017-11-09 03:39:55,,0,3,9
30171,25,1,3,71,2017-11-08 00:52:51,,0,0,8
11102,12,1,13,108,2017-11-08 05:06:25,,0,5,8
18514,2,1,40,77,2017-11-09 06:12:40,,0,6,9
29688,17,1,30,14,2017-11-07 13:22:44,,0,13,7
14385,8,1,19,127,2017-11-07 23:47:37,,0,23,7
14782,22,1,19,40,2017-11-07 12:07:29,,0,12,7
9845,11,1,51,7,2017-11-08 07:48:03,,0,7,8
5049,11,1,30,64,2017-11-09 01:57:13,,0,1,9
926,26,1,19,25,2017-11-09 06:38:41,,0,6,9
24525,17,1,20,33,2017-11-08 04:25:56,,0,4,8
31284,11,1,19,67,2017-11-07 17:15:54,,0,17,7
27727,2,1,19,32,2017-11-07 05:09:49,,0,5,7
16220,17,1,15,24,2017-11-08 13:31:51,,0,13,8
24768,13,1,19,109,2017-11-09 04:36:29,,0,4,9
12833,11,2,17,67,2017-11-08 05:05:54,,0,5,8
28150,58,1,31,138,2017-11-08 09:53:44,,0,9,8
13191,2,1,3,142,2017-11-09 08:15:05,,0,8,9
5996,12,1,17,108,2017-11-08 03:12:36,,0,3,8
30361,2,1,19,7,2017-11-08 02:18:16,,0,2,8
670,25,1,15,146,2017-11-08 08:15:19,,0,8,8
1192,11,1,9,91,2017-11-09 06:08:58,,0,6,9
29671,58,1,22,138,2017-11-09 01:43:53,,0,1,9
1089,17,1,19,24,2017-11-07 21:26:43,,0,21,7
34738,7,1,19,38,2017-11-09 10:31:59,,0,10,9
11262,2,1,9,77,2017-11-08 11:20:27,,0,11,8
31772,11,1,13,45,2017-11-08 11:39:47,,0,11,8
10798,26,1,18,25,2017-11-07 16:23:53,,0,16,7
3011,2,1,19,105,2017-11-08 16:09:35,,0,16,8
5890,7,1,13,38,2017-11-09 07:36:31,,0,7,9
34322,10,1,18,84,2017-11-09 03:03:34,,0,3,9
19306,13,1,19,105,2017-11-08 14:06:19,,0,14,8
13532,6,1,20,12,2017-11-09 04:56:53,,0,4,9
7930,1,1,19,48,2017-11-07 03:29:49,,0,3,7
6395,8,1,19,126,2017-11-09 11:19:20,,0,11,9
28751,7,1,40,38,2017-11-09 09:58:52,,0,9,9
7705,11,1,23,67,2017-11-07 12:10:54,,0,12,7
14213,14,1,13,64,2017-11-07 16:19:21,,0,16,7
29475,11,1,36,150,2017-11-09 05:43:52,,0,5,9
7626,1,2,9,25,2017-11-08 23:19:34,,0,23,8
21427,13,1,11,95,2017-11-09 04:52:54,,0,4,9
4421,1,1,13,48,2017-11-07 01:39:13,,0,1,7
20079,2,1,23,156,2017-11-07 16:25:09,,0,16,7
32659,10,1,19,81,2017-11-08 06:21:31,,0,6,8
14919,10,1,17,81,2017-11-08 23:09:36,,0,23,8
17628,2,1,17,77,2017-11-08 02:58:37,,0,2,8
5745,14,1,32,70,2017-11-07 07:33:13,,0,7,7
5449,2,1,26,77,2017-11-08 14:01:32,,0,14,8
11819,17,1,10,14,2017-11-09 14:14:10,,0,14,9
14174,1,1,23,59,2017-11-09 13:20:30,,0,13,9
32440,2,1,18,77,2017-11-08 07:02:32,,0,7,8
12623,11,1,19,45,2017-11-08 09:18:39,,0,9,8
2983,25,1,18,71,2017-11-09 02:59:16,,0,2,9
10808,8,1,17,33,2017-11-07 00:05:01,,0,0,7
18393,2,1,34,77,2017-11-08 14:24:48,,0,14,8
17470,13,1,13,105,2017-11-09 04:13:09,,0,4,9
18891,2,2,62,77,2017-11-08 15:46:38,,0,15,8
22408,1,1,25,55,2017-11-06 22:04:48,,0,22,6
8572,1,1,19,144,2017-11-07 03:30:17,,0,3,7
11592,2,1,19,77,2017-11-07 07:24:11,,0,7,7
4416,2,2,15,110,2017-11-09 03:10:36,,0,3,9
23385,11,1,15,86,2017-11-07 13:19:31,,0,13,7
22429,14,1,18,40,2017-11-07 09:40:58,,0,9,7
8661,2,1,13,126,2017-11-07 03:58:49,,0,3,7
17039,8,1,2,90,2017-11-07 09:31:07,,0,9,7
2772,11,1,13,91,2017-11-09 05:49:05,,0,5,9
16109,11,1,19,67,2017-11-09 10:39:26,,0,10,9
24328,17,1,19,14,2017-11-09 15:29:20,,0,15,9
17000,11,1,13,64,2017-11-08 03:42:53,,0,3,8
13943,14,1,46,79,2017-11-08 17:20:25,,0,17,8
22083,8,1,17,38,2017-11-09 04:00:08,,0,4,9
17082,2,1,46,32,2017-11-09 07:41:04,,0,7,9
6786,1,1,19,60,2017-11-07 11:04:34,,0,11,7
18364,1,1,13,109,2017-11-08 07:35:12,,0,7,8
24165,2,1,13,77,2017-11-07 06:49:40,,0,6,7
476,13,1,19,149,2017-11-08 06:20:47,,0,6,8
6542,14,1,19,149,2017-11-08 21:08:41,,0,21,8
7662,14,1,15,64,2017-11-06 19:14:19,,0,19,6
24215,19,1,19,67,2017-11-07 01:07:36,,0,1,7
3581,1,1,22,52,2017-11-07 07:49:22,,0,7,7
1776,17,1,19,24,2017-11-06 17:48:02,,0,17,6
19500,2,1,8,7,2017-11-07 01:01:51,,0,1,7
20089,5,1,19,138,2017-11-08 09:51:14,,0,9,8
11321,2,1,19,20,2017-11-08 15:06:01,,0,15,8
31585,11,1,9,7,2017-11-09 06:05:05,,0,6,9
19512,17,1,10,14,2017-11-07 02:01:18,,0,2,7
19572,1,1,27,124,2017-11-09 12:41:08,,0,12,9
10827,25,1,19,146,2017-11-08 16:19:57,,0,16,8
8003,14,1,19,76,2017-11-07 02:02:05,,0,2,7
22138,11,1,13,64,2017-11-07 13:07:15,,0,13,7
918,5,2,10,138,2017-11-07 09:23:27,,0,9,7
592,26,1,19,25,2017-11-08 00:47:46,,0,0,8
14443,17,1,19,14,2017-11-09 05:59:45,,0,5,9
13943,2,1,19,77,2017-11-08 12:14:37,,0,12,8
29629,14,1,15,64,2017-11-07 06:59:56,,0,6,7
3580,8,1,36,142,2017-11-08 10:07:48,,0,10,8
34009,2,1,19,77,2017-11-09 11:05:28,,0,11,9
15214,8,1,6,58,2017-11-08 04:18:27,,0,4,8
20673,2,1,15,77,2017-11-08 14:37:11,,0,14,8
23375,11,1,19,7,2017-11-08 04:42:14,,0,4,8
2552,1,1,34,146,2017-11-09 01:42:31,,0,1,9
17104,27,2,9,34,2017-11-07 04:57:40,,0,4,7
1986,8,1,22,33,2017-11-08 01:49:46,,0,1,8
11370,0,1,19,5,2017-11-08 13:49:33,,0,13,8
13776,23,1,19,13,2017-11-07 12:24:33,,0,12,7
22672,2,1,19,77,2017-11-07 03:13:44,,0,3,7
19639,8,1,19,90,2017-11-07 02:10:34,,0,2,7
5476,1,1,19,25,2017-11-07 02:52:14,,0,2,7
18437,25,1,19,24,2017-11-08 12:23:55,,0,12,8
20967,11,1,9,67,2017-11-09 12:42:42,,0,12,9
14464,11,1,22,45,2017-11-08 00:46:07,,0,0,8
10970,17,1,13,125,2017-11-08 16:02:13,,0,16,8
10200,14,1,19,149,2017-11-08 03:00:10,,0,3,8
2167,13,1,25,33,2017-11-09 10:52:39,,0,10,9
3901,2,1,13,51,2017-11-09 08:34:30,,0,8,9
8742,1,1,13,59,2017-11-08 14:55:44,,0,14,8
9660,17,1,13,125,2017-11-07 08:17:48,,0,8,7
9644,2,1,20,32,2017-11-08 01:12:12,,0,1,8
17499,10,1,16,43,2017-11-09 13:18:08,,0,13,9
14991,10,1,8,150,2017-11-07 04:06:39,,0,4,7
7972,8,1,40,33,2017-11-08 00:48:20,,0,0,8
34470,8,1,18,33,2017-11-09 01:10:40,,0,1,9
34211,5,1,18,28,2017-11-09 12:00:53,,0,12,9
6712,0,1,18,104,2017-11-09 05:59:12,,0,5,9
17013,5,1,19,138,2017-11-09 01:39:59,,0,1,9
17181,2,1,10,101,2017-11-08 02:27:28,,0,2,8
18501,6,1,13,12,2017-11-09 05:56:07,,0,5,9
7973,8,1,35,126,2017-11-08 14:02:27,,0,14,8
17787,117,0,24,94,2017-11-09 12:49:17,,0,12,9
12737,2,1,10,35,2017-11-08 06:40:22,,0,6,8
20246,10,1,22,84,2017-11-09 10:02:50,,0,10,9
18606,10,1,46,35,2017-11-09 07:57:05,,0,7,9
8035,2,1,13,32,2017-11-07 13:03:40,,0,13,7
11085,1,1,6,52,2017-11-08 11:58:29,,0,11,8
14818,11,2,19,70,2017-11-08 00:10:41,,0,0,8
31765,14,1,13,149,2017-11-08 14:50:14,,0,14,8
34226,25,1,8,24,2017-11-09 03:28:20,,0,3,9
12477,8,1,90,126,2017-11-07 11:56:03,,0,11,7
236,2,1,13,113,2017-11-09 01:33:58,,0,1,9
15029,13,1,40,98,2017-11-08 01:11:40,,0,1,8
12833,2,1,19,40,2017-11-07 05:14:41,,0,5,7
9166,8,1,9,33,2017-11-07 15:19:07,,0,15,7
356,14,1,13,70,2017-11-09 00:10:51,,0,0,9
2990,2,1,19,156,2017-11-09 08:53:47,,0,8,9
10627,13,1,13,125,2017-11-08 04:12:20,,0,4,8
22093,2,1,19,77,2017-11-07 13:11:53,,0,13,7
18307,2,1,6,48,2017-11-07 13:05:17,,0,13,7
3413,11,1,19,7,2017-11-09 15:24:04,,0,15,9
27122,1,1,22,100,2017-11-07 15:36:44,,0,15,7
17102,1,1,9,133,2017-11-09 07:41:48,,0,7,9
7691,0,1,17,39,2017-11-08 00:49:52,,0,0,8
918,11,1,40,67,2017-11-08 08:11:11,,0,8,8
166,28,1,17,50,2017-11-07 16:27:55,,0,16,7
2423,8,1,8,126,2017-11-09 06:12:05,,0,6,9
4653,25,1,32,146,2017-11-09 00:06:17,,0,0,9
32146,17,1,19,24,2017-11-08 03:38:58,,0,3,8
9495,17,1,13,14,2017-11-09 13:54:19,,0,13,9
8828,12,1,13,146,2017-11-07 14:01:37,,0,14,7
33059,3,1,82,12,2017-11-09 08:48:18,,0,8,9
28001,11,2,25,91,2017-11-09 15:40:55,,0,15,9
19750,1,1,28,144,2017-11-08 11:56:02,,0,11,8
5244,8,1,36,63,2017-11-07 13:32:46,,0,13,7
6591,11,1,15,113,2017-11-09 09:32:42,,0,9,9
13137,8,1,19,57,2017-11-08 07:10:11,,0,7,8
14205,2,1,3,77,2017-11-08 04:43:45,,0,4,8
2990,11,1,9,67,2017-11-06 23:16:24,,0,23,6
1424,11,1,16,45,2017-11-07 12:07:07,,0,12,7
4957,17,1,46,33,2017-11-07 14:01:38,,0,14,7
11980,1,1,13,124,2017-11-08 23:03:02,,0,23,8
1004,2,1,13,77,2017-11-09 13:47:49,,0,13,9
20547,28,1,9,93,2017-11-07 14:03:24,,0,14,7
