ip,app,device,os,channel,click_time,attributed_time,is_attributed,hour,day
11079,11,1,25,64,2017-11-06 23:12:26,,0,23,6
14770,7,1,6,38,2017-11-07 21:53:57,,0,21,7
10403,8,1,1,14,2017-11-08 13:12:55,,0,13,8
14421,5,1,30,28,2017-11-06 16:23:30,,0,16,6
11248,26,1,13,40,2017-11-09 06:07:11,,0,6,9
22700,11,1,10,38,2017-11-07 09:03:57,,0,9,7
1976,0,1,19,40,2017-11-08 10:21:17,,0,10,8
17402,17,1,48,24,2017-11-07 16:59:02,,0,16,7
13036,8,1,19,90,2017-11-09 01:08:47,,0,1,9
17796,11,1,19,64,2017-11-07 22:01:52,,0,22,7
3118,14,1,14,64,2017-11-09 05:10:12,,0,5,9
34422,8,1,13,142,2017-11-08 22:58:07,,0,22,8
19032,2,1,13,77,2017-11-08 03:10:22,,0,3,8
15961,17,1,22,33,2017-11-08 05:01:03,,0,5,8
16558,17,1,40,24,2017-11-09 01:25:05,,0,1,9
15720,11,1,13,70,2017-11-06 16:11:11,,0,16,6
18448,6,1,17,12,2017-11-07 10:53:33,,0,10,7
19709,2,1,19,48,2017-11-08 10:00:38,,0,10,8
17777,2,1,13,51,2017-11-09 15:48:30,,0,15,9
31596,0,1,51,20,2017-11-09 03:56:21,,0,3,9
10953,1,1,19,104,2017-11-09 13:15:23,,0,13,9
18429,2,2,9,35,2017-11-06 23:57:02,,0,23,6
9768,8,1,15,14,2017-11-09 07:05:10,,0,7,9
16305,19,1,26,147,2017-11-08 01:02:08,,0,1,8
6473,9,1,22,80,2017-11-07 09:06:41,,0,9,7
12048,0,1,13,40,2017-11-08 13:00:17,,0,13,8
28397,14,1,8,123,2017-11-09 04:08:47,,0,4,9
7037,1,1,13,59,2017-11-08 03:23:58,,0,3,8
19466,2,1,19,126,2017-11-07 16:48:03,,0,16,7
7367,14,1,18,64,2017-11-08 12:03:52,,0,12,8
4071,2,1,19,156,2017-11-06 17:13:47,,0,17,6
22973,14,1,13,64,2017-11-07 00:30:56,,0,0,7
15241,17,1,8,14,2017-11-09 10:00:06,,0,10,9
19720,11,1,19,70,2017-11-09 10:50:38,,0,10,9
7457,5,1,19,138,2017-11-08 10:33:53,,0,10,8
20021,1,2,19,146,2017-11-08 03:43:57,,0,3,8
5244,11,2,18,45,2017-11-07 13:23:25,,0,13,7
12104,1,1,16,146,2017-11-09 14:29:32,,0,14,9
11608,20,1,19,31,2017-11-07 00:28:43,,0,0,7
32225,5,1,6,138,2017-11-09 02:35:58,,0,2,9
25645,28,1,13,53,2017-11-08 13:45:27,,0,13,8
11464,2,1,19,77,2017-11-09 02:36:03,,0,2,9
13574,7,1,28,38,2017-11-07 16:34:07,,0,16,7
17620,2,1,17,113,2017-11-09 00:44:48,,0,0,9
26205,17,1,13,24,2017-11-09 13:35:10,,0,13,9
20161,17,1,17,103,2017-11-08 19:53:29,,0,19,8
10353,1,1,20,52,2017-11-07 09:18:27,,0,9,7
22250,0,1,11,35,2017-11-07 04:03:49,,0,4,7
16317,0,1,13,20,2017-11-08 21:10:22,,0,21,8
17467,1,2,1,25,2017-11-08 22:46:05,,0,22,8
7144,2,1,10,35,2017-11-08 02:16:25,,0,2,8
1369,25,1,10,71,2017-11-08 06:50:50,,0,6,8
25250,2,1,13,51,2017-11-07 12:46:19,,0,12,7
8803,2,1,13,77,2017-11-09 00:59:04,,0,0,9
19441,13,1,13,126,2017-11-09 12:24:58,,0,12,9
11907,14,1,16,64,2017-11-07 03:11:44,,0,3,7
2608,21,1,28,21,2017-11-08 10:37:47,,0,10,8
17834,8,1,19,54,2017-11-07 07:52:27,,0,7,7
12858,1,1,19,48,2017-11-08 12:08:14,,0,12,8
7204,17,1,19,125,2017-11-08 11:01:22,,0,11,8
668,6,1,19,12,2017-11-07 10:50:43,,0,10,7
